"Country","Gold","Silver","Bronze","Total",
"Ghana",0,1,22,23,
"Paraguay",0,17,0,17,
"Iceland",0,15,2,17,
"Malaysia",0,11,5,16,
"Montenegro",0,14,0,14,
"Philippines",0,3,7,10,
"Moldova",0,3,5,8,
"Saudi Arabia",0,1,5,6,
"Qatar",0,1,4,5,
"Namibia",0,4,0,4,
"Lebanon",0,2,2,4,
"Kyrgyzstan",0,1,2,3,
"Tanzania",0,2,0,2,
"Sri Lanka",0,2,0,2,
"Zambia",0,1,1,2,
"Niger",0,1,1,2,
"Afghanistan",0,0,2,2,
"Kuwait",0,0,2,2,
"Cyprus",0,1,0,1,
"Tonga",0,1,0,1,
"Botswana",0,1,0,1,
"Guatemala",0,1,0,1,
"Curacao",0,1,0,1,
"Senegal",0,1,0,1,
"Gabon",0,1,0,1,
"Sudan",0,1,0,1,
"Virgin Islands, US",0,1,0,1,
"Iraq",0,0,1,1,
"Mauritius",0,0,1,1,
"Bermuda",0,0,1,1,
"Togo",0,0,1,1,
"Monaco",0,0,1,1,
"Eritrea",0,0,1,1,
"Guyana",0,0,1,1,
"Barbados",0,0,1,1,
"Djibouti",0,0,1,1,
"Macedonia",0,0,1,1,
